Title,Price,Rating
"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",28,There is no rating
Python Programming for Beginners: 3 Books in 1 – Python Gamified + Python Fast Track Your Career + Python Automation (2025) (Computer Programming),29,There is no rating
"Fluent Python: Clear, Concise, and Effective Programming",43,There is no rating
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",43,There is no rating
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",22,There is no rating
Learning Python: Powerful Object-Oriented Programming,79,There is no rating
Python 3: The Comprehensive Guide to Hands-On Python Programming (Rheinwerk Computing),55,There is no rating
Python Programming Language QuickStudy Laminated Reference Guide,7,There is no rating
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,24,There is no rating
Learning Python: Powerful Object-Oriented Programming,74,There is no rating
Python Pocket Reference: Python In Your Pocket,13,There is no rating
The Big Book of Small Python Projects: 81 Easy Practice Programs,39,There is no rating
"Python Programming: An Introduction to Computer Science, Fourth Edition",54,There is no rating
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (Computer Programming),27,There is no rating
"Python Programming for Young Coders: A Hands-On, Project-Based Introduction to Coding for Beginners, Kids, and Teens",13,There is no rating
Python QuickStart Guide: The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications (Coding & Programming - QuickStart Guides),24,There is no rating
Think Python: How to Think Like a Computer Scientist,34,There is no rating
"Head First Python: A Learner's Guide to the Fundamentals of Python Programming, A Brain-Friendly Guide",41,There is no rating
Powerful Python: Patterns and Strategies with Modern Python,47,There is no rating
Python Standard Library: a QuickStudy Laminated Reference Guide (QuickStudy Computer),6,There is no rating
Python for Excel: A Modern Environment for Automation and Data Analysis,39,There is no rating
Python All-in-One For Dummies (For Dummies: Learning Made Easy),30,There is no rating
"Python for Engineering and Scientific Computing: Practical Applications with NumPy, SciPy, Matplotlib, and More (Rheinwerk Computing)",53,There is no rating
Python for Everybody: Exploring Data in Python 3,0,There is no rating
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",31,There is no rating
Python Essentials 1: The Official OpenEDG Python Institute Course Book – Aligned with PCEP-30-0x Certification Exam,38,There is no rating
Python Basics: A Practical Introduction to Python 3,9,There is no rating
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,11,There is no rating
"Learn Python Programming: A comprehensive, up-to-date, and definitive guide to learning Python",39,There is no rating
"The Quick Python Book, Fourth Edition",43,There is no rating
"Deep Learning with Python, Second Edition",49,There is no rating
Python Cookbook: Recipes for Mastering Python 3,31,There is no rating
"Python for Algorithmic Trading Cookbook: Recipes for designing, building, and deploying algorithmic trading strategies with Python",48,There is no rating
Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),0,There is no rating
Python Programming for Beginners: The Complete Python Coding Crash Course - Boost Your Growth with an Innovative Ultra-Fast Learning Framework and Exclusive Hands-On Interactive Exercises & Projects,19,There is no rating
Python Data Science Handbook: Essential Tools for Working with Data,50,There is no rating
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",29,There is no rating
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",26,There is no rating
Learn Python in One Day and Learn It Well: Python for Beginners with Hands-on Project. The only book you need to start coding in Python immediately,11,There is no rating
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,34,There is no rating
"Absolute Beginner's Guide to Python Programming: Master Coding Quickly with Hands-On, Real-World Projects, Step-By-Step Guidance, and Comprehensive Learning for All Ages (Absolute Beginner's Guides)",20,There is no rating
Object-Oriented Python: Master OOP by Building Games and GUIs,41,There is no rating
Python Cheat Sheet Encyclopedia: The Fastest Way to Learn and Use Python Without Getting Overwhelmed,0,There is no rating
"Invent Your Own Computer Games with Python, 4th Edition",28,There is no rating
Python Tricks: A Buffet of Awesome Python Features,28,There is no rating
"Learn Python Programming - Second Edition: The no-nonsense, beginner's guide to programming, data science, and web development with Python 3.7",43,There is no rating
"Python, Java, SQL & JavaScript: The Ultimate Crash Course for Beginners to Master the 4 Most In-Demand Programming Languages, Stand Out from the Crowd and Find High-Paying Jobs!",26,There is no rating
Effective Python: 125 Specific Ways to Write Better Python (Effective Software Development Series),59,There is no rating
